,phrase,sentiment values
171,perhap escap director mark romanek 's self-consci scrutini happen,0.5
172,( `` last danc '' ),0.5
173,watch thirti second,0.44444
174,incomprehens moviego alreadi clad basic black,0.61111
175,wispi,0.52778
176,ridicul wig respect halloween costum shop would ever tri sell,0.23611
177,"use : spirit , percept , convict",0.58333
178,prankish,0.5
179,"stir tribut braveri dedic world 's report willingli walk nightmar war record event poster , help us",0.79167
180,costum set,0.51389
181,biggest disappoint,0.13889
182,titl,0.5
183,wonder big question sincer devot,0.72222
184,ca n't compar friday next,0.65278
185,nerv,0.5
186,intermitt wise script,0.59722
187,surpris high,0.68056
188,even screenplay fall somewhat short,0.41667
189,well establish,0.65278
190,dement mind,0.33333
191,stay,0.5
192,brought consider wit,0.8333299999999999
193,concess stand,0.51389
194,ham,0.47222
195,chatti fish,0.5
196,last fall 's,0.48611
197,teeny-bopp set,0.38889
198,quick solut,0.41667
199,plod teen remak,0.375
200,wind-tunnel simpli astound cor-blimey-luv-a-duck cockney accent,0.75
201,"react - feel part grand locat , think urgent protagonist struggl , feel merci invent ,",0.59722
202,"sinc dahmer resort standard slasher flick thrill mind killer , miss major opportun truli revelatori psych .",0.22222
203,mood 's sustain surprisingli somber conclus,0.70833
204,1972 film,0.5
205,total unnecessari,0.47222
206,"ryan gosl ( murder number ) ,",0.5
207,shtick,0.5
208,touch funni,0.8333299999999999
209,charact ' suffer,0.47222
210,advertis,0.5
211,plung,0.55556
212,made clear schlocki horror\/act hybrid,0.30556
213,director gerardo vera,0.5
214,american final revel splendor,0.75
215,pre-shoot guidelin director came actor,0.51389
216,'s imposs care win,0.47222
217,ultim engag less stori actorli existenti despair boundary-hop formal innov glimps anoth kind chines ` cultur revolut . ',0.68056
218,decent children 's,0.66667
219,care anim respect cultur,0.68056
220,thin period,0.44444
221,bad film 's stori live style .,0.30556
222,found anim like,0.5
223,"dens construct , highli referenti film ,",0.40278
224,"cockett n't much gender , sexual prefer polit agitprop simpli triumph indomit human rebel , connect creat .",0.58333
225,"style , text , subtext",0.54167
226,demon fear paranoia,0.36111
227,see theater,0.625
228,christoph walken kinda,0.55556
229,set,0.54167
230,gymkata howi long,0.40278
231,start,0.55556
232,grow strain dare film,0.70833
233,kimmel,0.5
234,save patho,0.63889
235,mediocr act,0.34722
236,circuit get drawn parti .,0.51389
237,feel counterproduct,0.25
238,ground,0.48611
239,spinoff,0.47222
240,spit screenplay,0.34722
241,uniqu entertain twist,0.73611
242,foreign polici play rise castro .,0.44444
243,"warm wise , deftli set uproari humor underli serious sneak viewer , provid experi richer anticip .",0.88889
244,busi,0.61111
245,unrelentingli grim,0.22222
246,soulless -- even damn --,0.22222
247,other find humor-seek dollar best spent elsewher .,0.23611
248,canin,0.5
249,- spangl monsoon wed late marriag --,0.5
250,mani actor,0.40278
251,thriller send audienc talk specif scari scene startl moment ;,0.56944
252,griffith,0.5
253,"creat compel , sensit , intellig almost cohes piec film entertain",0.68056
254,plot mechan damn,0.38889
255,` natur ',0.58333
256,sever mob tale,0.44444
257,movi star charismat tough guy vinni jone,0.72222
258,made origin releas date last fall,0.5
259,enjoy daytim soaper,0.59722
260,thoroughli plumb martin scorses .,0.59722
261,lengthi dialogu scene,0.33333
262,tv episod,0.63889
263,stuf,0.40278
264,oblivion,0.5
265,mytholog,0.56944
266,clear passion sociolog,0.52778
267,emin,0.5
268,like nomin oscar next year,0.94444
269,extrem bad,0.097222
270,dozen bad guy,0.5
271,,0.5
272,tradit action genr,0.625
273,lamb hannib,0.5
274,smart,0.5
275,hollywood film,0.61111
276,"garcía bernal talancón immens appeal coupl , even though stori predict , 'll want thing work .",0.75
277,surpris discoveri love humil,0.61111
278,bear stori,0.4305600000000001
279,,0.5
280,film work,0.54167
281,bound show theatr,0.75
282,strong educ good teacher valuabl way help increas averag student 's self-esteem,0.5
283,brown sugar curs bland,0.48611
284,"better understand n't connect would requir anoth view ,",0.45833
285,less like chang ( herzog 's ) person polici,0.45833
286,'s deni talent creativ forc behind,0.86111
287,", 's one .",0.63889
288,pace,0.5
289,"graini rough , depend ` naturalist ' rather care lit set ,",0.20833
290,fine-look film bounci score,0.81944
291,either imposs -- forc us confront 's possibl,0.61111
292,work subject,0.5
293,corpor circu,0.41667
294,'s invigor,0.66667
295,epicent percol mental instabl,0.54167
296,david goliath stori,0.55556
297,well dress well made,0.68056
298,", insuffici enlighten invit",0.34722
299,"'s hard fairli judg film like ringu 've seen remak first . mani effect horror element dampen familiar , ( yet ) worthwhil .",0.65278
300,riot,0.80556
301,", patient tenaci",0.54167
302,hold lot water,0.56944
303,wind look like bunch talent thesp slum,0.20833
304,-- cold war dated,0.47222
305,"kouyat elicit strong perform cast ,",0.77778
306,challeng,0.38889
307,stale plot pornograph way,0.33333
308,ruthless social order govern colleg cliqu,0.38889
309,athlet heart,0.61111
310,inevit,0.34722
311,show,0.5
312,conspicu success,0.625
313,"charm will eccentr , least evidenc latest cinemat essay",0.73611
314,"civil mind , movi like ballist : eck vs . sever ordeal amus .",0.27778
315,wither effect,0.38889
316,"sulki , calcul lolita turn",0.58333
317,cut figur,0.36111
318,much good laugh,0.76389
319,cat 's,0.5
320,like wet burlap sack gloom,0.125
321,- damn,0.5
322,fall prey contradict afflict mani movi writer .,0.26389
323,"witherspoon put rest valley-girl imag ,",0.52778
324,'ll read anywher,0.5
325,go win academi award,0.80556
326,revolutionari,0.72222
327,", ultim deliv",0.8472200000000001
328,take film face valu enjoy slightli humor tender stori,0.70833
329,ruthless armi warpath,0.48611
330,dump whole lot plot favor ... outrag gag,0.26389
331,arti jazzi,0.625
332,directori tour de forc,0.70833
333,b . . give big middle-fing '' shut '' talk noth two guy beat hell outta one anoth,0.125
334,,0.5
335,stress ` dumb .,0.26389
336,throw away fleet joy love 's brief moment,0.5
337,three week drive-in,0.29167
338,bomb .,0.18056
339,preach strictli convert .,0.38889
340,sucker,0.22222
341,two tediou act light great scare good surpris end .,0.68056
342,well-don film,0.79167
343,prefabr,0.375
344,fit bill perfectli,0.81944
345,make robust scari entertain .,0.80556
346,view one shakespear 's better known tragedi,0.5
347,chelsea wall triple-espresso endur challeng .,0.5
348,realiti charact,0.5
349,best contest receiv,0.61111
350,charm,0.22222
351,screen gamesmanship,0.5
352,'re connoisseur psycholog horror,0.66667
353,quit possibl sturdiest exampl yet,0.88889
354,comic book guy '' simpson '',0.55556
355,"felt sad lise much happen captur movi obvious belong someth lighter sunnier , rohmer , exampl",0.44444
356,"simpl fabl done artless sytl ,",0.19444
357,pompou,0.25
358,occurr,0.51389
359,swap one mundan stori anoth,0.27778
360,get full brunt comedi,0.55556
361,insepar,0.51389
362,"sit one ,",0.69444
363,movi n't tough take long 've paid matine price .,0.58333
364,"'s forrest gump , angel death",0.40278
365,branch pseudo-witti copycat interpret,0.34722
366,lack punch,0.30556
367,rank worthi predecessor,0.66667
368,"'ve seen remak first . mani effect horror element dampen familiar , ( yet )",0.36111
369,santa claus 2 's,0.56944
370,hickenloop 's,0.56944
371,misogyni,0.56944
372,marvin,0.5
373,pictur love toward end,0.81944
374,mortal,0.51389
375,power extravaganza,0.54167
376,ad enough ingredi,0.55556
377,"insomnia mani way convent , even predict remak , nolan 's penetr undercurr cerebr cinemant flair lend ( ) stimul depth .",0.65278
378,mira nair 's film absolut delight audienc,0.8472200000000001
379,"surprisingli juvenil lark , pop-influenc prank whose charm immedi appar",0.61111
380,effect moment,0.65278
381,b.s. give big middle-fing `` shut '' talk noth two guy beat hell outta one anoth,0.22222
382,`` memento '',0.5
383,"make silli , over-the-top coda especi disappoint",0.44444
384,live hell,0.23611
385,collect taken comedian end show,0.41667
386,caus parent sleepless hour,0.38889
387,odd love triangl,0.55556
388,jew cathol,0.5
389,loud ludicr,0.33333
390,good goos,0.73611
391,"reco 's bizzarr reaction unemploy . good film ,",0.77778
392,undead action flick formula,0.45833
393,bore,0.38889
394,one,0.5
395,writer\/director john mckay,0.5
396,realli closer,0.54167
397,seem film art rip peopl without ever let conscious know done,0.29167
398,wish watch make time go faster rather way around,0.18056
399,submarin epic,0.68056
400,set heartfelt perform,0.72222
401,"mount product exist capit hopkin ' inclin play hannib lecter , even though harri immedi inclin provid fourth book .",0.44444
402,'' one hour thirty-thre minut spent watch wast time .,0.375
403,even lazier far less enjoy .,0.31944
404,racist portrait,0.33333
405,uniqu entertain,0.68056
406,movi close match spirit man work,0.80556
407,imax,0.44444
408,"metaphor abound , easi take film face valu enjoy slightli humor tender stori",0.68056
409,deep uncov,0.48611
410,emot textur,0.54167
411,normal screen process,0.5
412,"leav john sayl take develop , chamber commerc , tourism , histor pageant ,",0.59722
413,hous film,0.52778
414,bad bluescreen,0.19444
415,theater first 10 minut,0.63889
416,"ambit , laudabl , justifi theatric simul death camp auschwitz ii-birkenau",0.52778
417,occasion break live-act scene anim sequenc,0.61111
418,aisl,0.56944
419,singl person,0.5
420,"world , far one us inhabit",0.40278
421,amazingli lifelik tara reid,0.72222
422,"smith profil five extraordinari american home , owner seem fulli awar use abus fame , 's pleasur enjoy eccentr .",0.73958
423,natur,0.54167
424,made infinit wrench perform real-lif spous seldahl wollter,0.70833
425,three-r circu,0.52778
426,detail .,0.5
427,child younger,0.5
428,"hurri , badli cobbl look",0.38889
429,entertain inferior level .,0.375
430,curiou sens menac inform everyth,0.52778
431,evok childish night terror,0.29167
432,noth exactli wrong,0.54167
433,still-contemporari,0.68056
434,'s enthusiast charm fire make formula fresh,0.75
435,challeng punish,0.47222
436,"gone recruit right band playlist costum star script , hand smart joke",0.41667
437,ca n't disguis fact 's inauthent core stori n't worth tell .,0.125
438,grotesqu,0.097222
439,", sum fear gener littl narr momentum , invit unflatt comparison instal ryan seri .",0.31944
440,quantum physic slash-dash,0.5
441,ramsay morton fill charact studi poetic forc buoyant feel .,0.73611
442,precis natur matthew 's predica final come sharp focu,0.5
443,compel motion pictur illustr american tragedi .,0.81944
444,"agon , catch-22 glori",0.22222
445,soppi,0.30556
446,`` men sardin '' warp,0.47222
447,southern gothic,0.5
448,tiresom jargon,0.31944
449,congratul gut confront,0.86111
450,auster,0.5
451,'s close anyon dare come .,0.59722
452,walk delic tightrop,0.59722
453,feat,0.58333
454,life drew close,0.5
455,animé tradit,0.5
456,get rhythm,0.75
457,"tartakovski 's team freakish power visual charm , five writer slip modern rut narr banal .",0.19444
458,rapt spell,0.61111
459,consid harsh locat demand stunt,0.5
460,could,0.5
461,truli gorgeou,0.90278
462,flail,0.33333
463,live exalt taglin - 's definit room improv,0.26389
464,help --,0.5
465,"resolut downbeat smoker everi indulg , indi trick book",0.36111
466,'ll put sleep .,0.055556
467,unresolv moral conflict jockey,0.47222
468,often funni collegi gross-out comedi,0.72222
469,"fascin ,",0.61111
470,festiv light,0.52778
471,movi 's strength almost everi junctur,0.70833
472,enough sustain comedi,0.58333
473,cultur conflict,0.40278
474,"'s also uninspir , lack real talent wit elev beyond formula level classic romant comedi aspir .",0.23611
475,influenc girl-meets-girl love stori,0.55556
476,film roman polanski may born make .,0.77778
477,beauti power,0.75
478,jerk audienc 's chain,0.36111
479,", might work better . ambit say someth subject , willing .",0.56944
480,find fun jumbl mess,0.55556
481,addit,0.51389
482,tri shift tone thriller 's rush,0.72222
483,ivan charact accept news ill quickli still find unabl react,0.5
484,inexperi,0.27778
485,film n't know want,0.11111
486,"probabl funniest person film , give idea bad .",0.16667
487,"run empti , believ flatbush machismo get .",0.29167
488,whodunit level larger theme,0.5
489,aceit dirigir esta continuação,0.51389
490,"'s anoth stale , kill-by-numb flick , complet blade-thin charact terribl , pun-laden dialogu .",0.20833
491,mama take bit long find rhythm,0.31944
492,fill raw emot,0.68056
493,heavy-hand instead pummel audienc .,0.16667
494,fresh,0.66667
495,", despit alleg provoc post-9 \ \/ 11",0.4305600000000001
496,modern life,0.61111
497,strong thumb,0.5
498,return tradit action genr,0.58333
499,liter,0.55556
500,crack cast,0.73611
501,"bad , 's realli bad",0.19444
502,said attempt wear possibl pupil repetit,0.29167
503,turn smarter diabol could guess begin .,0.76389
504,final hour,0.5
505,chillingli unemot,0.41667
506,good job,0.69444
507,"problem fledgl democraci ,",0.4305600000000001
508,two best adject,0.59722
509,strike nerv anyon 's ever famili trauma,0.63889
510,"stuffi , full , moral ambigu noth shout .",0.20833
511,", trust",0.51389
512,viewer `` ring '',0.5
513,good simmer,0.63889
514,", truli thank , one-of-a-kind work",0.38889
515,make least favorit jame bond movi seem cleverli plot usual suspect,0.29167
516,bloodstream,0.5
517,spielberg 's work,0.5
518,time 's done us,0.58333
519,", subtli differ",0.59722
520,enhanc,0.625
521,", overcom sens pumpkin mere plot pawn two director far less endear disabl .",0.29167
522,$ 1.8 million,0.54167
523,mind ( emot least ) adolesc audienc demand regular shock bout bare defens sexual violenc keep interest,0.40278
524,homag classic low-budget film noir movi .,0.41667
525,armchair,0.5
526,"kind movi come along occasion , one unconvent , gutsi perfectli",0.875
527,"love , famili",0.77778
528,"australian director john polson , make american featur debut , jazz adroitli",0.65278
529,human kind hope,0.80556
530,high crime gener,0.30556
531,ice age follow close,0.5
532,thought fiction examin,0.94444
533,imagin big kid,0.55556
534,"good car chase , great fight scene ,",0.93056
535,take chanc manag insult intellig everyon audienc,0.15278
536,school-ag crowd,0.5
537,difficult-to-swallow set,0.23611
538,eas share scene,0.54167
539,lacklust,0.23611
540,"delight , minor ,",0.66667
541,rehash feed younger gener,0.33333
542,ho-hum way,0.36111
543,relat charact stori,0.68056
544,bet parent thought,0.51389
545,problem,0.41667
546,readi quench thirst audienc miss summer blockbust,0.76389
547,love hush,0.72222
548,week live,0.23611
549,godard,0.5
550,everyon think poo-poo joke ` edgi . ',0.23611
551,categoris,0.5
552,second,0.5
553,ala,0.44444
554,look made highli gift 12-year-old instead grown man,0.38889
555,feature-length stretch ... strain show 's concept,0.36111
556,", contriv sequel",0.27778
557,catalyst,0.5
558,"difficult sustain interest profess famili tragedi . predict , fact",0.31944
559,red light,0.5
560,busi hit assign mark take life .,0.29167
561,best moment,0.68056
562,"stripped-down approach give film certain timeless qualiti , measur pace lack dramat inflect also seem tediou",0.34722
563,norm,0.5
564,may alway work,0.33333
565,hot outsid air condit insid,0.5
566,conserv hidebound movie-mak tradit,0.72222
567,imposs care n't funni,0.16667
568,littl number,0.47222
569,"sanctimoni , self-right eager",0.40278
570,rosenth ( halloween ii ),0.38889
571,breed formula film rather fresh one,0.36111
572,adult theme,0.48611
573,result compel slice awkward emot,0.625
574,"follow blueprint hundr film , sell highest bidder",0.38889
575,1.2 million palestinian,0.38889
576,"total overwrought , deepli bias , wholli design make feel guilti ignor filmmak clearli believ greatest musician time .",0.125
577,pete 's,0.5
578,summer award,0.70833
579,"want make ,",0.5
580,"impecc act ... script take rather unexpect ( even , time , preposter ) turn",0.86111
581,dire,0.41667
582,archiv foot-ag less-than-object stanc,0.29167
583,bittersweet patho,0.59722
584,insultingli inept artifici examin,0.097222
585,visual charm,0.70833
586,supernatur mysteri n't know whether want suspens horror movi weepi melodrama .,0.33333
587,"sight name bruce willi bring mind imag violent battlefield action pictur , film lot mind -- mayb much",0.625
588,`` mask '' jim carrey,0.61111
589,"say found intrigu , bizarr , dogma-lik spot - quit truth , way",0.76389
590,mere,0.44444
591,simon '' fun,0.61111
592,hous,0.5
593,tire time,0.16667
594,exit,0.33333
595,lame kiddi flick,0.19444
596,life-affirm messag,0.77778
597,", self-absorb",0.38889
598,knickknack,0.5
599,charm triumph,0.75
600,choke depict upper-crust decorum,0.27778
601,examin gener issu race justic,0.51389
602,"miller tell compel tale littl fuss nois , expertli pluck tension quiet .",0.70833
603,flip-flop,0.44444
604,pussy-ass,0.40278
605,"follow thing entertain : bad sound , lack climax , worst , watch seinfeld ( also one film 's produc ) everyth look like good guy .",0.18056
606,hope movi wide seen debat appropri feroc thought .,0.58333
607,bet 's make rather convolut journey worth take,0.79167
608,typic bond knock-off,0.38889
609,deep substanti,0.5
610,penetr raw,0.77778
611,mind,0.5
612,peopl divers polit perspect,0.54167
613,", denzel washington deliv lean engag work .",0.76389
614,film,0.5
615,far less endear disabl,0.48611
616,guid,0.56944
617,"art , ethic , cost moral compromis",0.63889
618,meatier deeper begin and\/or end,0.41667
619,make interest good,0.61111
620,brightli color dream,0.61111
621,sure,0.48611
622,depict .,0.5
623,given movi rate zero . fan show consid diss . consid ` perfect . ',0.40278
624,"sy ,",0.5
625,saddam,0.48611
626,dare us say either imposs -- forc us confront 's possibl might make,0.73611
627,college-friend genr ( big chill ),0.5
628,"heaven allow , want make anti-kieslowski pun possibl . suffic say total promis left slightli unfulfil",0.33333
629,'s conspicu miss girl ' big-screen blowout,0.26389
630,unsympathet charact someon,0.47222
631,cgi alien,0.5
632,,0.66667
633,"thing elev `` glori '' ilk , notabl mere presenc duval",0.88889
634,optimist 's hope popular cinema yet,0.72222
635,"first time sinc desper seek susan , madonna n't suck actress",0.70833
636,come . like could n't smell turkey rot mile away,0.16667
637,like locust hord,0.5
638,"may sound like mere disease-of - the-week tv movi ,",0.44444
639,one world cinema 's wondrous gift artist,0.91667
640,implement everi hack-artist trick give us ooky-spooki,0.18056
641,"enough may pander basest desir payback , unlik mani reveng fantasi , ultim deliv .",0.79167
642,"remark cohes whole , visual themat , consist sensit often excit treatment ignor peopl",0.69444
643,"great combin act narrat , jewish grandmoth subject --",0.81944
644,scale build like super hero,0.44444
645,'n' roll .,0.5
646,neurosi,0.40278
647,"pointless , stupid",0.125
648,"almost see mend compani get togeth singl frame shot collect vow , ` go someth realli good . '",0.77778
649,inconclus end,0.4305600000000001
650,sober affect,0.68056
651,mean streak mile wide,0.59722
652,usual cafeteria goulash,0.47222
653,"'re 25 , iq 90 ,",0.40278
654,make mostli worth trip .,0.63889
655,"serious , folk , n't work .",0.26389
656,race,0.5
657,serv soundtrack,0.48611
658,unreliev comedi beyond wist everyday ironi work poor .,0.52778
659,"'s taken one world 's fascin stori made dull , lifeless , irrit",0.069444
660,might resist,0.34722
661,losin ',0.36111
662,"( hayn ' ) homag film '' heaven allow '' '' imit life '' transcend . simpli put , '' far heaven '' masterpiec",0.79167
663,bartlett 's familiar quotat,0.5
664,bittersweet film,0.59722
665,film boast least good idea featur decent perform,0.66667
666,play straight-fac fashion,0.61111
667,pair squabbl working-class spous,0.38889
668,worship lil ' bow wow,0.70833
669,"trite , banal , clich , mostli inoffens .",0.13889
670,", 're jet way",0.66667
671,glacial,0.4305600000000001
672,obviou lengthi,0.31944
673,write direct,0.5
674,woman,0.52778
675,pincel,0.5
676,tonal shift,0.5
677,becom monoton .,0.27778
678,"'re interest ann gedd , john grisham , thoma kincaid .",0.55556
679,adher close,0.45833
680,almost certainli fascin,0.77778
681,"includ line ` stepdad 's mean , 's adjust '",0.48611
682,sweet play,0.76389
683,"nice , harmless date film",0.72222
684,comedi genr,0.61111
685,flotsam sea moviemak,0.56944
686,nearli 80-minut run time,0.5
687,excel act direct .,0.8333299999999999
688,decis moment,0.51389
689,hope nifti premis creat enough interest make unfocus screenplay,0.26389
690,full-length classic,0.875
691,movi 's charm,0.63889
692,endeavor predecessor .,0.5
693,imagin today 's mood-alt drug therapi envis chemist 1949,0.54167
694,thereaft,0.5
695,"feel shrill , simpl soapi .",0.25
696,tri balanc self-referenti humor normal ol' slasher plot seem like decent endeavor,0.65278
697,plot contriv,0.36111
698,"look like old , familiar vaudevil partner",0.47222
699,word : disappoint .,0.125
700,profound ethic philosoph question,0.72222
701,ao sair,0.5
702,blind,0.4305600000000001
703,carbon,0.5
704,big box consol candi,0.33333
705,high humid,0.625
706,new collect .,0.72222
707,wear thin repetit,0.33333
708,complex intern terror,0.55556
709,"'' independ film '' commodifi , sold-out concept american filmmak scene",0.16667
710,"long , dishonor histori quicki teen-pop exploit",0.16667
711,'s random inconclus,0.22222
712,rambl,0.26389
713,"fun easi target rowdi raunch-fest -- fart , boob , unmention --",0.48611
714,'re never sure ohling 's level mere,0.45833
715,n't mind contriv nonsens bit,0.55556
716,virtual noth show,0.36111
717,extremist name-cal,0.29167
718,"histrion muse still elud madonna , play charmless witch , mere charmless witch .",0.23611
719,"probabl feel emot cheat film 's tart , sugar-fre wit",0.23611
720,napoleon 's journey interest,0.8333299999999999
721,cogent point,0.61111
722,realli need remak '' charad ? '',0.48611
723,burn ' visual,0.40278
724,", kathryn bigelow offer sugar-co interlud light . film unrelentingli claustrophob unpleas .",0.33333
725,michael apt,0.51389
726,deriv power stick fact,0.54167
727,beauti,0.66667
728,comic,0.66667
729,clever angl ! wow,0.625
730,allow us forget film 's problem .,0.55556
731,warren stumbl search emot,0.5
732,follow thing,0.5
733,noth deliv former mr,0.375
734,'s arti jazzi,0.77778
735,ragbag,0.38889
736,introduct man 's theori influenc,0.58333
737,tri,0.51389
738,relev 9 1\/2 week,0.61111
739,"flat-out amus ,",0.86111
740,thrall,0.52778
741,aggress impress american counterpart,0.4305600000000001
742,simpli doubt film ask right question right time histori countri .,0.80556
743,"rais , perform stewart hardi",0.61111
744,`` jackass '' fan,0.44444
745,", time , fresh free usual thriller nonsens seem happen first time",0.77778
746,sci-fi action thriller,0.51389
747,relish everi self-mock moment,0.56944
748,"like mike n't go make box offic money make michael jordan jealou ,",0.44444
749,compel piec,0.8333299999999999
